date,close
2025-03-25,792966.0
2025-03-26,798962.57
2025-03-27,801950.0
2025-03-28,790250.0
2025-03-31,798441.6
2025-04-01,800300.0
2025-04-02,806684.0
2025-04-03,794514.0
2025-04-04,742540.0
2025-04-07,737000.0
2025-04-08,739100.59
2025-04-09,778421.0
2025-04-10,774000.0
2025-04-11,784000.0
2025-04-14,793787.54
2025-04-15,792500.0
2025-04-16,774261.0
2025-04-17,778832.77
2025-04-21,760489.0
2025-04-22,780000.0
2025-04-23,788799.0
2025-04-24,797140.0
2025-04-25,795760.0
2025-04-28,797750.0
2025-04-29,801340.0
2025-04-30,800540.0
2025-05-01,795400.0
2025-05-02,809350.0
2025-05-05,769960.0
2025-05-06,768000.0
2025-05-07,778172.77
2025-05-08,769000.0
2025-05-09,770999.0
2025-05-12,772100.0
2025-05-13,767000.0
2025-05-14,753215.0
2025-05-15,759100.0
2025-05-16,770660.0
2025-05-19,767200.0
2025-05-20,762320.0
2025-05-21,761380.0
2025-05-22,756250.0
2025-05-23,754505.0
2025-05-27,760100.0
2025-05-28,754820.0
2025-05-29,758576.87
2025-05-30,757400.0
2025-06-02,754740.0
2025-06-03,746200.0
2025-06-04,737820.0
2025-06-05,732953.19
2025-06-06,740395.5
2025-06-09,739925.0
2025-06-10,736000.0
2025-06-11,732120.0
2025-06-12,735000.0
2025-06-13,731220.0
2025-06-16,735920.0
2025-06-17,725400.0
2025-06-18,728200.0
2025-06-20,730000.0
2025-06-23,732467.77
2025-06-24,740085.0
2025-06-25,730000.0
2025-06-26,729807.77
2025-06-27,730939.9
2025-06-30,728800.0
2025-07-01,733150.0
2025-07-02,720500.0
2025-07-03,727455.0
2025-07-07,716415.0
2025-07-08,715269.0
2025-07-09,719578.07
2025-07-10,717180.0
2025-07-11,712842.0
2025-07-14,711100.0
2025-07-15,705000.0
2025-07-16,707681.0
2025-07-17,709820.0
2025-07-18,710978.5
2025-07-21,711000.2
2025-07-22,714710.0
2025-07-23,723120.0
2025-07-24,725700.0
2025-07-25,726220.0
2025-07-28,722200.0
2025-07-29,713704.72
2025-07-30,714175.0
2025-07-31,719850.0
2025-08-01,711480.0
2025-08-04,692600.0
2025-08-05,694750.0
2025-08-06,703115.0
2025-08-07,699999.9
2025-08-08,698040.1
2025-08-11,698440.0
2025-08-12,704700.1
2025-08-13,715490.41
2025-08-14,718680.0
2025-08-15,717250.0
